,title,posted on,close date,description
0, , , , 
0,Business Development Manager,18/01/2023,17/02/2023,Live chat agent is an international organization providing chat solutions to the Australian Automotive Industry.
0,Associate - Sourcing & Proposal,18/01/2023,21/01/2023,"-       Receiving, Reviewing, Filtering and Proposing Products and Services related Request for Proposals / Quotations (RFP/RFQ) from Customers"
0,Senior QA Engineer,18/01/2023,31/01/2023,Preferred skills
0,SDET_L2(Automation Engineer),18/01/2023,18/02/2023,We are looking for SDET - L2 (Automation Engieers)
0,Automation Test Architect,18/01/2023,18/02/2023,We are looking for Automation Architects
0,Business Development Executive,18/01/2023,27/01/2023,Preferred skills
0, Walk in for Business Analyst,18/01/2023,21/01/2023,Time: 
0, Walk in for Project lead,18/01/2023,21/01/2023,Time: 
0, Walk in for Front End Developer Angular,18/01/2023,21/01/2023,Time: 
0, Walk in for Front End UI Developer,18/01/2023,21/01/2023,Time: 
0, Walk in for Angular Developer,18/01/2023,21/01/2023,Time: 
0, Walk in for Full Stack Developer Dot Net,18/01/2023,21/01/2023,Time: 
0,Financial Analyst,18/01/2023,18/02/2023, 
0,Senior Presales Engineer,18/01/2023,25/01/2023,Preferred skills
0,Senior QA Engineer,18/01/2023,31/01/2023,"Senior QA Engineer_4+Yrs_Urgent

Should have strong experience in Selenium, Java, API Automation"
0,Principal Software Engineer_4+Yrs+Urgent,18/01/2023,31/01/2023,Preferred skills
0,Senior Java Developer,18/01/2023,31/01/2023,Senior Java Developer_3+Yrs_Urgent
0,Business Analyst in Healthcare (Fresher),17/01/2023,20/02/2023,Preferred skills
0,Business Analyst in Healthcare (Fresher),17/01/2023,20/02/2023, 
0,Business Analyst,17/01/2023,20/02/2023,Preferred skills
0,PHP Developer,17/01/2023,31/01/2023,"Expert knowledge of Core PHP
Strong knowledge of Laravel Framework
Knowledge of HTML5, CSS3,Bootstrap
Knowledge of Java Script, JQuery, JSON,Angular JS
Strong knowledge of the common PHP or web server exploits and their solutions
Ability to develop modules in adherence to a given architecture
Experience with source control systems such as GIT
Knowledge of working with rest API.
Strong knowledge of the Relational database mysql"
0,Business Analyst,17/01/2023,31/01/2023,Facilitation skills to bring multiple groups together to scope project and get consensus
0,Quality Analyst,17/01/2023,24/02/2023,Job description
0,Business Analyst,17/01/2023,31/01/2023,"Business Analyst_ 3-5 Yrs_Mumbai

Should be aware of Pharma related processes and standards, relevant experience in pharma domain.
Should be aware of Automation anywhere/Jiffy/Qlik platforms, relevant experience in similar tools.
Should be aware of Agile Methodology, relevant experience is preferred.
Should be aware of integration methodology for Qlik/BI Tools & Automation requirements across multiple source systems – e.g. SAP, SharePoint, Azure, Data Lake etc.
Facilitate business engagement and understand business context of automation.
Communicating and collaborating with internal and external team to analyze informational needs and functional requirements, delivering use cases, GUI, screen and interface design.
Transform data into business intelligence by generating relevant information and recommendations for improving organization performance
Understand and gather business requirements and translate to the development team (RPA and BI Tools)
Define user acceptance & testing strategies
Manage stake holders and project deliverables.
Creating and maintaining functional design documentation – Wireframe/Mock-ups/BRD/User manuals/Benefit trackers/PDD "
0,RPA Support,17/01/2023,31/01/2023,Preferred skills
0,Business Development Executive,17/01/2023,31/01/2023,"We are looking for a Business Development Executive to get prospective customers eager about our offerings, schedule appointments and product demos. You will be helping the company build a strong pipeline of qualified opportunities, and thereafter close deals! In those lines, here's what you will do:

Responsibilities
 "
